id,message,Communication,Electricity,Food,Infrastructure,Medical,Not Related,Rescue,Sanitation & Hygiene,Shelter,Transportation,Water
1,"Generators failing, need fuel for backup.",0,1,0,0,0,1,0,1,0,0,0
2,"Power outage for 5 days, no electricity!",1,1,0,0,0,0,0,0,0,0,0
3,Need satellite phones to coordinate rescue efforts.,1,0,0,0,0,0,0,0,0,0,0
4,"Buildings crumbled, entire town in ruins.",0,0,0,1,0,0,0,0,0,0,0
5,"Mobile networks are down, can't reach anyone.",1,0,0,0,0,0,0,0,0,0,0
6,"School buildings destroyed, need reconstruction.",0,1,0,1,0,0,0,0,0,0,0
9,Urgent need for first-aid kits and medicines.,0,0,0,0,1,0,0,0,0,0,0
10,"Electric grid is down, no communication possible.",0,1,0,0,1,0,0,0,0,0,0
11,"Clean water is unavailable, people are dehydrated.",0,0,0,1,0,0,0,0,0,0,1
12,Is there any help for baby formula?,0,1,1,0,0,0,0,0,0,0,0
13,Need medical assistance for severe injuries.,0,0,0,1,1,0,0,0,0,0,0
14,"Homeless due to earthquake, need immediate help.",0,0,0,0,0,0,1,0,1,0,1
16,"Bridge collapsed, no access to the affected area.",0,0,1,0,0,0,0,1,0,1,0
17,Has anyone tried the latest smartphone model?,0,0,0,1,0,1,0,0,0,1,0
18,"Sewage system collapsed, streets are contaminated.",0,0,0,0,0,1,0,1,0,0,0
20,"Flood washed away homes, need temporary tents.",0,0,0,1,0,1,0,0,1,0,0
21,I just finished watching a great movie.,0,0,0,1,0,1,0,0,0,0,1
22,"No power for medical equipment, urgent need!",0,1,0,0,0,0,0,1,0,0,0
23,"Roads blocked, no way to transport supplies.",0,0,0,0,0,0,0,0,0,1,0
24,The new restaurant in town has great reviews.,0,0,0,0,0,1,1,0,1,0,0
25,Excited for the upcoming football match!,0,0,0,1,0,1,0,0,0,0,0
27,Starving people stranded after the flood.,0,0,1,0,0,1,1,0,0,0,0
28,No access to fresh meals for three days.,0,0,1,0,0,0,0,0,0,0,0
32,Emergency responders needed in collapsed buildings.,0,0,0,0,0,0,1,0,0,0,0
33,"Radio towers destroyed, no emergency alerts.",1,0,0,0,0,0,0,0,0,0,0
34,"Water contamination detected, need purification kits.",0,0,1,0,0,0,0,0,1,0,1
35,"Floodwaters rising, people stuck on rooftops.",0,0,0,0,0,0,1,0,0,0,0
37,Need boats to cross the flooded streets.,0,0,1,0,0,0,0,0,1,1,0
38,"Transformer exploded, entire area in darkness.",0,1,0,0,0,0,0,0,0,0,0
41,"House destroyed, nowhere to go.",0,0,0,0,0,0,0,0,1,0,0
43,"Roads filled with debris, impassable for rescue teams.",0,1,0,1,0,0,0,0,1,0,0
44,"Lack of hygiene kits, people getting sick.",0,0,0,0,0,0,0,1,0,0,0
45,Bridge completely collapsed after the earthquake.,0,0,0,1,1,0,0,0,0,0,0
48,Helicopter needed to evacuate stranded families.,1,0,0,0,1,0,1,0,0,0,0
52,"Critical infrastructure damaged, emergency response needed.",0,0,0,1,0,1,0,0,0,0,0
55,"Hospital is overcrowded, running out of beds.",0,0,0,1,1,0,0,0,0,0,0
58,Evacuation delayed due to destroyed roads.,0,0,0,0,0,0,0,0,0,1,0
62,We need food supplies urgently!,0,0,1,0,0,1,0,0,0,0,1
64,"Water pipelines are broken, no drinking water.",0,0,0,0,0,0,0,0,1,0,1
67,Planning a weekend getaway with friends.,0,0,1,0,0,1,0,0,0,1,0
72,"People trapped under debris, need urgent rescue!",0,0,0,1,0,0,1,0,0,0,0
75,"Garbage piling up, creating a health hazard.",0,0,0,0,0,0,1,1,0,0,0
79,Rescue boats required to reach remote areas.,0,0,0,1,0,0,1,0,0,0,0
85,Running low on canned food in the shelter.,0,0,1,0,0,0,0,1,0,0,0
91,"Toilets are not working, hygiene risk increasing.",0,0,0,1,0,0,1,1,0,0,0
102,"No antibiotics left, infections spreading fast.",0,0,0,0,1,0,0,0,0,0,0
103,Need bottled water for the evacuation camp.,0,0,0,0,0,0,0,1,0,1,1
108,"Public transport suspended, people stranded.",0,0,0,0,0,0,0,0,0,1,0
111,Running out of safe water to drink.,0,0,0,0,0,0,0,0,0,0,1
123,Communication blackout in the disaster zone.,1,0,0,0,0,0,0,0,0,0,1
130,Emergency! No doctors are available for injured people.,0,0,0,1,1,0,0,0,0,0,0
164,"Families are sleeping outside, need shelter.",0,0,0,0,0,0,0,0,1,0,0
197,"No soap or clean water, risk of disease outbreak.",0,0,0,0,0,0,0,1,0,0,0
266,"No internet connection, can't contact family.",1,0,0,0,0,1,0,1,0,0,0
274,"Evacuation center is full, need more space.",0,0,0,0,0,0,0,1,1,0,0
1,"We have no food left, please send supplies!",0,0,1,0,0,0,0,0,0,0,0
2,"Evacuation centers are full, more shelter required! Roads destroyed, blocking aid transport!",0,0,0,1,0,0,0,0,1,0,0
3,"Hospital overcrowded, need more medical staff! Elderly and disabled stuck, urgent rescue help required! We need canned food, baby formula, and clean drinking water! Roads destroyed, blocking aid transport!",0,0,1,1,1,0,1,0,0,0,0
4,"Families with children need safe shelters! No way to evacuate, transport needed urgently!",0,0,0,0,0,0,0,0,1,1,0
5,"Ambulance stuck, need assistance clearing roads! No doctors or first aid available, please help!",0,0,0,0,1,0,0,0,0,1,0
6,Hygiene kits needed to prevent disease spread! Urgent: Clean water required for survival!,0,0,0,0,0,0,0,1,0,0,1
7,"Water supply cut off, no drinking water available! Water pipelines broken, supply disrupted! No doctors or first aid available, please help!",0,0,0,1,1,0,0,0,0,0,1
